PC,ExplainedVar,CumulativeVar
PC1,0.3917153535962796,0.3917153535962796
PC2,0.06552810026645661,0.45724345386273624
PC3,0.04979597794408399,0.5070394318068202
PC4,0.04439756591472961,0.5514369977215499
PC5,0.04089079319486331,0.5923277909164132
PC6,0.0371810331402199,0.6295088240566331
PC7,0.03218965286413004,0.6616984769207631
PC8,0.031082807727674275,0.6927812846484374
PC9,0.02912587478985463,0.721907159438292
PC10,0.02697659192554532,0.7488837513638373
