,count,mean,std,min,25%,50%,75%,max,median
Environmental_mean,216.0,4.114814814814815,0.6149781338241433,2.0,3.6,4.2,4.6,5.0,4.2
Cultural_mean,216.0,3.5516975308641974,0.3794150251596165,2.1666666666666665,3.3333333333333335,3.6666666666666665,3.8333333333333335,4.5,3.6666666666666665
VisitorMgmt_mean,216.0,4.0888888888888895,0.6962134574213383,2.0,3.6,4.2,4.6,5.0,4.2
Community_mean,216.0,3.9849537037037037,0.6589538909550678,2.0,3.5,4.0,4.625,5.0,4.0
