erythromycin_mic_combination_ug_ml,n,mean_fic,median_fic,sd_fic,min_fic,max_fic,sem,ci95_low,ci95_high
15.0,3,2.6666666666666665,3.0,0.5773502691896258,2.0,3.0,0.33333333333333337,1.2324490900835123,4.100884243249821
7.5,3,1.8333333333333333,1.5,0.5773502691896257,1.5,2.5,0.3333333333333333,0.3991157567501793,3.267550909916487
3.75,3,2.25,2.25,0.0,2.25,2.25,0.0,2.25,2.25
1.875,3,1.4583333333333333,1.125,0.5773502691896257,1.125,2.125,0.3333333333333333,0.024115756750179296,2.892550909916487
0.9375,3,1.0625,0.5625,0.8660254037844386,0.5625,2.0625,0.5,-1.088826364874731,3.213826364874731
