scale,count,mean,std,min,median,max,skew,interpretation
pab_score,150.0,3.0466666666666664,0.6086840551949199,2.142857142857143,3.0,4.714285714285714,0.37381092365598667,Neutral
hsa_score,150.0,3.732380952380953,0.6583665846866672,1.5714285714285714,4.0,4.857142857142857,-1.1984789950223251,Agree
irs_score,150.0,3.891428571428572,0.7108604353553676,1.0,4.0,5.0,-0.7681764857524617,Agree
vh_score,150.0,4.144,0.5834955990356394,1.8,4.0,5.0,-0.8150115525191816,Agree
