Temperature_C,Time_h,WAC,Aw,MC_percent,WSI,Zone_Mean_All,d_WAC,d_Aw,d_MC,d_WSI,d_Zone,Composite_Desirability
57.333333333333336,5.866666666666667,343.00732345687226,0.5923407407406831,9.291698765431933,9.534599407401776,6.375226337449461,0.9893569729168183,0.7216287094548017,0.48185989329622514,0.21775808554985857,0.8818675029759252,0.5807551185156142
57.333333333333336,5.8,342.93422654329197,0.592890555555498,9.310164197530698,9.602579296290667,6.368060699589379,0.988348007105709,0.7134327122153248,0.47492090002320253,0.22570828077384777,0.8738954766047143,0.5807353130282513
57.0,5.933333333333334,342.6838108025513,0.5924699074073498,9.301916975308476,9.56439063888326,6.374117798354813,0.9848914874170436,0.7197032436162911,0.4780200649501336,0.22124214694083794,0.8806342138998363,0.5806711883279299
57.0,5.866666666666667,342.6162932099586,0.5930190740740163,9.320082716049214,9.633137907401775,6.366965020577035,0.9839595336690974,0.7115169082125663,0.4711936905590418,0.22928208661669572,0.8726764948264903,0.5806535247505825
57.666666666666664,5.8,343.2615256173659,0.5922791666666093,9.282061419752923,9.507744824068446,6.375753600823948,0.9928657570293856,0.7225465838509331,0.48548144282069694,0.2146174628797066,0.8824541021884537,0.5805735421085904
57.666666666666664,5.733333333333333,343.18284938279817,0.5928296296295721,9.300826543209713,9.57495733332771,6.368575102881561,0.9917797791551148,0.7143409247757107,0.4784298306657442,0.22247791365182684,0.874467768519375,0.58054240578359
57.333333333333336,5.933333333333334,343.05926604946495,0.591793518518461,9.27350246913564,9.467527148142524,6.38215534979514,0.9900739429980359,0.7297860593512815,0.4886977499420144,0.20991403690634552,0.8895762750663938,0.5805313013135323
57.333333333333336,5.733333333333333,342.83997530872426,0.5934429629629052,9.328898765431934,9.671466814809174,6.3606584362148935,0.9870470455647103,0.7051980676328556,0.4678807701229466,0.23376462257831046,0.8656601959527592,0.5804730744531988
57.0,6.0,342.7301740741561,0.5919233333332757,9.284020370370202,9.496550999994385,6.381033950618188,0.9855314454350933,0.7278509316770239,0.48474530271399485,0.21330835384545635,0.888328678692438,0.5804457249926285
57.0,5.8,342.52762129637836,0.5935708333332756,9.338517592592424,9.70279280554992,6.359575617284855,0.9827355841912603,0.7032919254658428,0.46426617954071603,0.23742817287302884,0.864455521472403,0.5803939179844433
57.666666666666664,5.866666666666667,343.3190475309462,0.5917312962962388,9.263565432098602,9.44143994443883,6.382695473251931,0.9936597391737663,0.7307135955831652,0.49243191834841693,0.20686315868806357,0.8901771815767872,0.580360888883517
56.666666666666664,6.0,342.29098765440295,0.592666666666609,9.312716049382548,9.597118518512897,6.372427983539996,0.97946930053006,0.7167701863354081,0.4739619577824238,0.2250696470526445,0.8787542349601761,0.5803095549280972
56.666666666666664,5.933333333333334,342.22904938279817,0.5932151851851276,9.330582098765264,9.666633166661034,6.365288065844523,0.9786143588452816,0.708593512767429,0.4672482022732607,0.23319933118037087,0.8708108231846978,0.5802852114315016
57.666666666666664,5.666666666666667,343.0830188272426,0.5933826851851275,9.31986080246897,9.643077472216591,6.36115997942477,0.9904018055509491,0.7060966183574926,0.47127708188355943,0.23044451100442076,0.866218180569553,0.5802686499481823
58.0,5.733333333333333,343.4464172840328,0.5922851851851276,9.273004938271441,9.483826888883268,6.375699588478271,0.9954178397547527,0.722456866804697,0.48888471352355023,0.21182027893038183,0.8823940115374157,0.5801372844560647
