Condition,n,mean_seconds,sd_seconds,mean_ms,sd_ms,min_ms,max_ms
Infection-indicative,10,2.48,1.059,2480.0,1058.993,1150.0,3810.0
Non-infection,15,4.989,1.1,4988.667,1099.655,3280.0,7100.0
